device_name,flow,n_packets,stdev_n_bytes,min_n_bytes,max_n_bytes,sum_n_bytes,median_n_bytes,mean_timestamp,stdev_timestamp,sum_timestamp,median_timestamp,min_timestamp,max_timestamp,mean_iat,stdev_iat,min_iat,max_iat,sum_iat,median_iat,start_timestamp,end_timestamp,flow_duration
Gateway,1.1.1.12.2.2.2,10,0.0,133.0,133.0,1330.0,133.0,1629402546.902914,0.6614111276654808,16294025469.02914,1629402546.8937364,1629402545.873332,1629402547.962926,0.2321770985921224,0.016592521010323772,0.20270705223083496,0.26448893547058105,2.321770985921224,0.2337600390116374,1629402545.873332,1629402547.962926,2.0895938873291016
Gateway,1.1.1.12.2.2.2,30,0.0,133.0,133.0,3990.0,133.0,1629402584.6807775,6.4234447128531205,48882077540.423325,1629402584.0448766,1629402576.184263,1629402593.796133,0.6073058638079413,1.421573440394642,0.19193482398986816,6.803425073623657,18.21917591423824,0.22185003757476807,1629402576.184263,1629402593.796133,17.611870050430298
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402576.816982,20.537064000757756,32588051536.33964,1629402576.8463879,1629402555.184225,1629402598.389651,2.273969788300364,8.419815640145922,0.1999821662902832,38.92415404319763,45.47939576600727,0.2415379285812378,1629402555.184225,1629402598.389651,43.20542597770691
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402580.5472884,7.886798926561036,32588051610.94577,1629402580.601166,1629402571.633694,1629402589.405535,0.9353600552207546,2.922548261121962,0.19642400741577148,13.656611919403076,18.70720110441509,0.23337101936340332,1629402571.633694,1629402589.405535,17.771841049194336
Falso_Sensor_de_Movimento,2.2.2.21.1.1.1,20,0.0,83.0,83.0,1660.0,83.0,1629402580.5461457,7.887072108025401,32588051610.922913,1629402580.6000695,1629402571.631114,1629402589.404329,0.9354323713402998,2.922494064846453,0.19616103172302246,13.65644884109497,18.708647426805996,0.2343205213546753,1629402571.631114,1629402589.404329,17.7732150554657
Falso_Sensor_de_Temperatura,2.2.2.21.1.1.1,20,0.0,83.0,83.0,1660.0,83.0,1629402576.8156722,20.537437413002746,32588051536.313442,1629402576.845609,1629402555.182113,1629402598.388406,2.274015426635742,8.419773055690676,0.19998979568481445,38.92401599884033,45.480308532714844,0.24166500568389893,1629402555.182113,1629402598.388406,43.2062931060791
Falso_Sensor_de_Umidade,2.2.2.21.1.1.1,30,0.0,83.0,83.0,2490.0,83.0,1629402584.6797738,6.423603845868085,48882077540.39321,1629402584.0439649,1629402576.183557,1629402593.795425,0.6073057898159685,1.4216682488576535,0.191878080368042,6.803715944290161,18.219173694479053,0.2218945026397705,1629402576.183557,1629402593.795425,17.611867904663086
Falso_Playstation_4,2.2.2.21.1.1.1,10,0.0,83.0,83.0,830.0,83.0,1629402546.9012413,0.6608298778948904,16294025469.012413,1629402546.8918405,1629402545.872526,1629402547.960155,0.23195878664652506,0.016467076118501265,0.20038890838623047,0.26284003257751465,2.3195878664652505,0.23367245992024738,1629402545.872526,1629402547.960155,2.0876290798187256
Falso_Xbox_Series_S,2.2.2.21.1.1.1,20,0.0,83.0,83.0,1660.0,83.0,1629402569.2103841,1.3743350613471026,32588051384.207684,1629402569.2457094,1629402566.930869,1629402571.407715,0.2356234726152922,0.019040808713487418,0.19230413436889648,0.27221012115478516,4.712469452305844,0.23707842826843262,1629402566.930869,1629402571.407715,4.476845979690552
Falso_Xbox_Series_X,2.2.2.21.1.1.1,20,0.0,83.0,83.0,1660.0,83.0,1629402555.1547096,3.584746833972588,32588051103.094193,1629402555.140311,1629402550.599503,1629402559.673202,0.47756310513145045,1.0316791259402573,0.18001389503479004,4.967482089996338,9.551262102629009,0.2322230339050293,1629402550.599503,1629402559.673202,9.073698997497559
